station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-27 23:00:48,1.13,1.63,3.10,40.37,0.00,9.93,31.61,916.0231,-89,6.00,-89.0,6.0
4,2026-05-27 23:10:48,5.95,9.30,13.77,99.58,0.00,9.54,32.25,916.0880,-89,6.50,-89.0,6.5
4,2026-05-27 23:20:48,0.21,0.52,3.56,36.29,0.20,9.20,32.61,916.1536,-89,5.75,-89.0,5.75
4,2026-05-27 23:30:48,0.71,1.19,3.49,60.77,4.54,8.90,32.91,916.1775,-89,6.75,-89.0,6.75
4,2026-05-27 23:40:48,0.06,0.26,1.33,31.48,1.74,8.63,33.41,916.2770,-88,6.00,-88.0,6.0
4,2026-05-27 23:50:48,0.28,0.43,1.43,34.06,0.00,8.38,33.58,916.3222,-93,5.75,-93.0,5.75
