station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-25 16:11:05,0.24,0.77,7.89,76.40,0.00,14.01,25.19,915.3085,-97,3.00,-97.0,3.0
4,2026-05-25 16:21:05,0.34,0.71,5.30,42.45,0.00,14.13,24.94,915.3658,-97,2.75,-97.0,2.75
4,2026-05-25 16:31:05,0.10,0.58,4.27,61.76,0.00,14.36,24.22,915.4385,-97,3.75,-97.0,3.75
4,2026-05-25 16:41:05,0.33,0.86,5.98,78.23,0.00,14.48,24.49,915.4777,-97,2.50,-97.0,2.5
4,2026-05-25 16:51:05,0.30,1.46,24.45,181.41,20.10,14.20,24.86,915.4429,-95,4.50,-95.0,4.5
4,2026-05-25 17:01:05,0.34,3.47,44.49,206.86,2.52,13.16,26.28,915.4001,-97,4.50,-97.0,4.5
4,2026-05-25 17:11:05,0.38,4.74,68.20,327.67,0.00,11.99,27.96,915.4397,-94,6.25,-94.0,6.25
4,2026-05-25 17:21:05,0.29,1.61,18.78,192.09,0.00,11.64,28.49,915.6466,-91,6.75,-91.0,6.75
4,2026-05-25 17:31:05,0.70,1.17,5.40,45.39,0.00,11.36,28.82,915.7245,-88,5.50,-88.0,5.5
4,2026-05-25 17:41:05,0.57,1.26,9.85,140.06,0.00,11.29,29.07,915.7522,-88,6.25,-88.0,6.25
4,2026-05-25 17:51:05,0.29,1.09,14.04,284.60,0.00,11.26,29.15,915.7963,-88,6.25,-88.0,6.25
