station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-06-06 10:00:49,0.36,1.48,10.76,75.29,0.00,16.96,36.28,914.5662,-98,4.75,-98.0,4.75
4,2026-06-06 10:40:49,0.35,1.46,9.54,93.69,0.00,18.77,32.35,914.5031,-98,5.75,-98.0,5.75
4,2026-06-06 12:10:49,0.34,1.35,10.42,64.94,0.00,21.36,28.49,913.8146,-99,4.50,-99.0,4.5
4,2026-06-06 13:10:49,0.41,2.40,14.29,159.73,0.00,21.54,27.01,913.1428,-99,6.00,-99.0,6.0
4,2026-06-06 17:50:49,28.24,323.86,327.67,327.67,11.18,22.56,23.18,911.2992,-98,6.25,-98.0,6.25
4,2026-06-06 18:20:49,1.18,11.48,73.78,327.67,0.00,20.04,26.05,911.0713,-100,3.50,-100.0,3.5
4,2026-06-06 18:50:49,18.15,202.60,327.67,327.67,0.00,21.35,24.85,910.8056,-99,4.50,-99.0,4.5
4,2026-06-06 21:40:49,1.44,15.85,91.79,327.67,0.00,15.44,35.83,911.5806,-99,3.25,-99.0,3.25
4,2026-06-06 22:00:49,7.36,108.37,327.67,327.67,0.00,15.45,34.74,911.7305,-100,3.75,-100.0,3.75
4,2026-06-06 22:10:49,4.69,66.97,327.67,327.67,0.00,15.35,34.57,911.8364,-98,5.75,-98.0,5.75
4,2026-06-06 23:00:49,2.43,30.90,176.40,327.67,0.00,14.26,36.63,912.6958,-99,5.50,-99.0,5.5
4,2026-06-07 00:40:49,1.17,14.05,76.93,327.67,0.00,11.49,43.04,913.4242,-100,3.00,-100.0,3.0
4,2026-06-07 02:10:49,2.31,32.32,183.34,327.67,0.00,9.12,50.19,913.7595,-98,4.25,-98.0,4.25
4,2026-06-07 02:30:49,1.42,18.10,98.44,327.67,0.00,9.14,50.13,913.9247,-98,5.00,-98.0,5.0
4,2026-06-07 02:50:49,2.30,31.88,175.13,327.67,0.00,9.01,50.59,914.0508,-99,4.25,-99.0,4.25
4,2026-06-07 03:20:49,2.91,44.28,267.87,327.67,0.00,9.00,51.09,914.2233,-99,3.75,-99.0,3.75
4,2026-06-07 06:40:49,0.25,0.73,3.45,53.72,29.25,7.74,56.00,914.8854,-99,4.75,-99.0,4.75
4,2026-06-07 07:00:49,0.26,0.96,4.64,54.88,9.06,8.24,54.83,914.8931,-99,3.50,-99.0,3.5
4,2026-06-07 08:00:49,0.19,0.44,2.85,165.41,21.91,12.55,43.43,914.7836,-99,4.50,-99.0,4.5
4,2026-06-07 08:30:49,0.28,1.66,8.47,175.93,32.12,13.76,40.21,914.5603,-99,5.00,-99.0,5.0
4,2026-06-07 09:30:49,0.64,6.92,37.46,327.67,27.05,15.60,36.61,914.2169,-98,4.50,-98.0,4.5
4,2026-06-07 10:20:48,1.37,16.47,90.17,327.67,26.83,16.77,33.80,913.9558,-98,4.50,-98.0,4.5
4,2026-06-07 10:40:49,1.35,15.60,80.05,327.67,44.61,17.48,32.70,913.8437,-99,4.25,-99.0,4.25
4,2026-06-07 12:40:48,0.48,4.00,29.61,327.67,24.69,18.01,31.86,912.8745,-103,4.00,-103.0,4.0
4,2026-06-07 12:50:49,0.93,10.04,71.33,327.67,27.29,20.39,28.17,912.7568,-105,2.75,-105.0,2.75
4,2026-06-07 13:10:50,0.23,0.68,4.50,42.41,0.00,16.89,33.35,912.7727,-102,3.75,-102.0,3.75
4,2026-06-07 18:10:47,12.68,141.80,327.67,327.67,84.05,24.51,21.68,910.3663,-99,3.75,-99.0,3.75
4,2026-06-07 18:20:47,24.28,298.44,327.67,327.67,48.49,24.75,21.72,910.2103,-102,3.75,-102.0,3.75
4,2026-06-07 18:40:47,15.65,179.52,327.67,327.67,10.59,24.14,21.54,910.2207,-102,4.75,-102.0,4.75
4,2026-06-07 18:50:47,12.50,136.74,327.67,327.67,0.34,23.95,22.15,910.2546,-101,5.25,-101.0,5.25
4,2026-06-07 19:00:47,10.90,120.27,327.67,327.67,44.76,23.86,21.77,910.1706,-101,5.00,-101.0,5.0
4,2026-06-07 19:10:47,19.29,221.03,327.67,327.67,107.27,23.96,22.15,910.0938,-100,5.50,-100.0,5.5
4,2026-06-07 19:20:47,19.05,218.24,327.67,327.67,51.34,23.31,23.28,910.0559,-101,3.50,-101.0,3.5
4,2026-06-07 19:30:47,22.66,267.88,327.67,327.67,72.92,22.64,23.88,910.0152,-102,3.75,-102.0,3.75
4,2026-06-07 19:40:47,23.63,274.86,327.67,327.67,4.19,22.46,23.84,910.0131,-99,5.50,-99.0,5.5
