station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-30 17:00:49,0.08,0.34,2.30,22.24,0.00,14.70,40.30,925.2355,-103,3.25,-103.0,3.25
4,2026-05-30 17:10:49,0.08,0.39,2.52,35.63,0.00,14.34,39.53,925.1700,-103,2.75,-103.0,2.75
4,2026-05-30 17:20:49,0.07,0.29,3.12,46.49,0.00,12.17,43.80,925.1587,-104,2.00,-104.0,2.0
4,2026-05-30 17:30:49,0.08,0.27,1.43,35.94,0.00,12.86,42.05,925.1704,-103,2.75,-103.0,2.75
4,2026-05-30 17:40:49,0.09,0.30,1.61,21.49,0.00,12.61,42.04,925.1642,-104,2.75,-104.0,2.75
4,2026-05-30 17:50:49,0.14,0.45,3.19,51.69,0.00,12.37,42.02,925.1818,-103,3.00,-103.0,3.0
4,2026-05-30 18:00:49,0.12,0.62,4.73,76.12,0.00,12.05,42.60,925.2299,-107,0.25,-107.0,0.25
4,2026-05-30 18:10:49,0.12,0.91,9.63,100.79,0.00,12.56,41.14,925.3082,-103,1.50,-103.0,1.5
4,2026-05-30 18:20:49,0.09,0.64,6.16,138.73,0.00,14.83,36.57,925.3172,-104,1.50,-104.0,1.5
4,2026-05-30 18:40:49,0.28,3.90,37.68,327.67,0.00,13.32,40.24,925.3582,-103,3.00,-103.0,3.0
4,2026-05-30 18:50:49,0.08,0.42,3.55,48.40,0.00,12.58,40.52,925.5508,-103,1.75,-103.0,1.75
4,2026-05-30 19:00:49,0.09,0.42,3.92,40.79,0.00,12.66,39.96,925.5666,-103,2.75,-103.0,2.75
4,2026-05-30 19:10:49,0.08,0.32,3.25,43.82,0.00,13.23,39.31,925.5282,-104,3.00,-104.0,3.0
4,2026-05-30 19:20:49,0.10,0.44,3.61,46.03,0.00,15.30,35.40,925.4612,-104,1.50,-104.0,1.5
4,2026-05-30 19:30:49,0.15,1.25,12.58,138.15,0.00,16.62,32.56,925.5898,-105,1.75,-105.0,1.75
4,2026-05-30 19:40:49,0.14,1.39,15.49,311.60,0.00,15.09,33.49,925.4064,-106,0.75,-106.0,0.75
4,2026-05-30 19:50:49,0.14,1.40,13.04,160.42,0.00,14.28,35.40,925.3812,-103,3.00,-103.0,3.0
4,2026-05-30 20:10:49,2.36,31.37,181.18,327.67,0.00,12.07,39.98,925.5273,-102,2.50,-102.0,2.5
4,2026-05-30 20:20:49,4.72,68.98,327.67,327.67,0.00,11.08,42.04,925.5893,-104,2.75,-104.0,2.75
4,2026-05-30 20:30:49,4.83,71.38,327.67,327.67,0.00,10.55,43.17,925.6351,-105,1.00,-105.0,1.0
