station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-29 11:40:49,0.21,0.51,0.77,4.37,0.00,3.65,68.96,918.1028,-100,3.00,-100.0,3.0
4,2026-05-29 11:50:49,0.19,0.53,1.32,14.59,0.00,4.38,65.66,918.0934,-99,4.25,-99.0,4.25
4,2026-05-29 12:00:49,0.21,0.47,1.56,32.54,0.00,4.87,63.52,918.0792,-98,5.25,-98.0,5.25
4,2026-05-29 12:10:49,0.18,0.39,1.71,28.38,0.00,5.72,61.41,918.0558,-99,6.50,-99.0,6.5
4,2026-05-29 12:20:49,0.20,0.52,1.89,22.85,0.00,5.37,62.78,918.0887,-98,5.25,-98.0,5.25
4,2026-05-29 12:30:49,0.20,0.54,1.59,22.86,0.00,5.81,62.43,918.1393,-99,6.00,-99.0,6.0
4,2026-05-29 12:40:49,0.19,0.43,1.63,29.75,0.00,6.78,58.87,918.1122,-99,6.00,-99.0,6.0
4,2026-05-29 12:50:49,0.19,0.46,1.39,23.84,0.00,7.00,57.41,918.0822,-99,5.50,-99.0,5.5
4,2026-05-29 13:00:49,0.21,0.59,2.23,36.33,0.00,7.98,53.12,918.0659,-99,5.75,-99.0,5.75
4,2026-05-29 13:10:49,0.19,0.52,2.05,39.57,0.00,8.35,51.01,918.0198,-99,5.75,-99.0,5.75
4,2026-05-29 13:20:49,0.18,0.48,1.08,9.76,0.00,8.07,51.85,917.9774,-98,6.00,-98.0,6.0
4,2026-05-29 13:30:49,0.20,0.54,1.72,30.07,0.00,6.99,57.14,918.0094,-99,6.00,-99.0,6.0
4,2026-05-29 13:40:49,0.19,0.47,1.54,23.09,0.00,7.35,57.44,917.9869,-99,6.50,-99.0,6.5
4,2026-05-29 13:50:49,0.20,0.53,1.94,27.02,0.00,7.63,55.70,917.9670,-99,5.25,-99.0,5.25
4,2026-05-29 14:00:49,0.19,0.55,1.95,19.84,0.00,7.39,55.79,918.0165,-99,5.75,-99.0,5.75
4,2026-05-29 14:10:49,0.28,0.76,3.39,114.46,0.00,7.64,56.74,918.0846,-100,5.50,-100.0,5.5
4,2026-05-29 14:20:49,0.28,0.71,1.80,25.82,0.00,6.93,61.05,918.1664,-99,6.50,-99.0,6.5
4,2026-05-29 15:00:49,0.21,0.55,0.97,12.25,0.00,3.59,74.54,918.2673,-102,3.00,-102.0,3.0
4,2026-05-29 15:10:49,0.24,0.66,2.28,52.09,0.00,5.32,68.36,918.3404,-104,2.00,-104.0,2.0
4,2026-05-29 15:20:49,0.22,0.52,1.60,25.29,0.00,5.42,67.20,918.5194,-103,2.75,-103.0,2.75
4,2026-05-29 15:30:49,0.23,0.52,1.42,18.55,0.00,5.01,68.94,918.5568,-101,2.25,-101.0,2.25
4,2026-05-29 16:00:49,0.30,0.78,2.12,29.89,0.00,5.12,68.61,918.7755,-101,1.50,-101.0,1.5
4,2026-05-29 16:10:49,0.31,0.73,1.42,15.96,0.00,5.03,69.22,918.8369,-101,2.25,-101.0,2.25
4,2026-05-29 16:30:49,0.27,0.64,1.56,26.15,0.00,4.94,69.85,918.9244,-102,2.50,-102.0,2.5
