station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-30 20:40:49,5.05,72.58,327.67,327.67,0.00,9.62,45.16,925.6945,-103,2.25,-103.0,2.25
4,2026-05-30 21:00:49,4.22,62.14,327.67,327.67,0.00,8.16,48.92,925.8677,-104,2.75,-104.0,2.75
4,2026-05-30 21:20:49,2.90,40.42,214.84,327.67,0.00,7.67,49.70,925.9345,-104,1.25,-104.0,1.25
4,2026-05-30 21:30:49,1.99,28.17,153.27,327.67,0.00,7.84,48.82,926.0396,-103,1.00,-103.0,1.0
4,2026-05-30 21:40:49,0.94,11.68,61.55,327.67,0.00,7.58,49.22,926.1121,-104,1.25,-104.0,1.25
4,2026-05-30 23:00:49,1.88,23.78,123.53,327.67,0.00,6.24,48.96,926.6185,-103,2.50,-103.0,2.5
4,2026-05-31 00:10:49,0.34,3.04,17.02,265.10,0.00,6.28,46.99,927.2513,-105,0.50,-105.0,0.5
4,2026-05-31 00:20:49,0.30,2.12,10.85,199.94,0.00,5.66,48.76,927.3301,-105,1.00,-105.0,1.0
4,2026-05-31 00:40:49,0.58,5.83,29.50,230.05,0.79,5.46,48.64,927.4882,-103,2.00,-103.0,2.0
4,2026-05-31 03:20:49,0.31,1.87,9.45,81.19,0.00,5.59,46.73,928.7917,-106,1.50,-106.0,1.5
4,2026-05-31 03:40:49,0.25,1.29,7.48,41.16,0.00,5.56,46.88,928.9587,-102,2.25,-102.0,2.25
4,2026-05-31 05:00:49,0.28,1.57,8.71,45.81,0.00,5.20,49.38,929.6995,-104,1.75,-104.0,1.75
4,2026-05-31 05:10:49,0.27,1.48,7.52,64.14,0.00,5.32,47.69,929.8353,-104,1.75,-104.0,1.75
4,2026-05-31 05:20:49,0.30,1.64,10.00,64.71,0.00,5.13,48.95,929.9548,-103,2.25,-103.0,2.25
4,2026-05-31 05:40:49,0.87,9.86,53.27,327.67,0.00,4.51,50.69,929.9911,-106,0.75,-106.0,0.75
4,2026-05-31 07:30:49,3.94,52.57,292.07,327.67,20.91,5.16,49.11,931.1168,-104,1.75,-104.0,1.75
4,2026-05-31 07:40:49,0.97,10.60,52.69,327.67,0.01,5.54,48.00,931.2642,-105,1.75,-105.0,1.75
4,2026-05-31 08:00:49,1.09,12.04,56.61,327.67,0.00,5.65,47.63,931.4797,-105,0.25,-105.0,0.25
4,2026-05-31 09:20:49,0.31,1.95,12.61,309.09,16.12,8.16,42.36,932.5803,-105,1.25,-105.0,1.25
4,2026-05-31 10:00:49,0.25,1.53,9.39,60.03,0.08,8.70,40.17,932.9231,-104,3.00,-104.0,3.0
4,2026-05-31 10:10:49,0.19,1.01,6.22,39.47,15.73,9.09,39.55,933.1692,-105,2.50,-105.0,2.5
4,2026-05-31 10:20:49,0.24,1.31,7.93,154.37,2.59,10.38,36.87,933.2135,-106,0.75,-106.0,0.75
4,2026-05-31 10:40:49,0.18,0.90,5.97,52.64,14.51,9.79,38.01,933.3263,-106,1.00,-106.0,1.0
4,2026-05-31 11:00:49,0.29,1.98,9.74,168.69,1.67,10.45,36.83,933.5501,-103,3.00,-103.0,3.0
4,2026-05-31 11:30:49,0.19,0.91,6.17,82.74,5.64,11.41,35.40,933.6549,-102,2.75,-102.0,2.75
