station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-31 11:50:48,0.40,3.78,23.51,315.73,3.89,11.99,34.03,933.6172,-106,0.00,-106.0,0.0
4,2026-05-31 12:00:48,0.60,6.12,32.04,327.67,11.75,12.01,33.59,933.6067,-103,3.50,-103.0,3.5
4,2026-05-31 12:10:49,0.23,1.78,15.19,327.67,0.00,11.57,33.01,933.6516,-103,2.50,-103.0,2.5
4,2026-05-31 12:20:48,1.21,14.01,73.70,327.67,17.15,12.51,31.83,933.6803,-107,0.25,-107.0,0.25
4,2026-05-31 12:30:48,0.13,0.71,4.37,42.21,4.13,13.30,29.76,933.7622,-105,2.25,-105.0,2.25
4,2026-05-31 12:40:49,0.25,2.40,20.93,327.67,9.25,13.99,30.92,933.8983,-107,0.50,-107.0,0.5
4,2026-05-31 12:50:49,0.27,2.54,16.71,327.67,0.57,14.22,31.89,933.9804,-104,3.75,-104.0,3.75
4,2026-05-31 13:00:49,0.31,3.07,25.30,327.67,0.00,14.10,32.12,934.0516,-102,4.50,-102.0,4.5
4,2026-05-31 13:10:49,0.18,0.99,4.80,46.82,0.00,13.80,33.17,934.1600,-103,3.50,-103.0,3.5
4,2026-05-31 13:20:48,0.23,1.31,7.73,154.04,1.57,14.09,31.68,934.1759,-103,2.75,-103.0,2.75
4,2026-05-31 13:30:48,0.18,0.84,4.77,45.29,0.42,14.71,30.84,934.1720,-106,0.00,-106.0,0.0
4,2026-05-31 13:40:48,0.15,0.75,3.40,30.83,11.58,14.98,30.71,934.1762,-103,3.50,-103.0,3.5
4,2026-05-31 13:50:48,0.16,0.89,4.16,33.33,5.87,15.06,30.31,934.2143,-105,2.00,-105.0,2.0
4,2026-05-31 14:00:48,0.13,0.61,3.51,34.04,0.09,15.19,29.97,934.2293,-105,2.00,-105.0,2.0
4,2026-05-31 14:10:48,0.13,0.67,2.88,30.62,1.65,14.55,30.94,934.1931,-105,1.50,-105.0,1.5
4,2026-05-31 14:20:48,0.13,0.63,3.95,55.22,0.57,14.29,31.56,934.1645,-105,1.00,-105.0,1.0
4,2026-05-31 14:30:48,0.12,0.52,2.04,32.06,0.63,14.64,30.93,934.2484,-104,3.50,-104.0,3.5
4,2026-05-31 14:40:48,0.14,0.65,3.53,30.63,0.07,14.40,31.49,934.2842,-108,-0.75,-108.0,-0.75
4,2026-05-31 14:50:48,0.12,0.56,2.35,31.75,0.00,15.40,30.77,934.2620,-104,3.00,-104.0,3.0
4,2026-05-31 15:00:48,0.11,0.49,2.67,29.30,0.02,15.66,30.50,934.2383,-106,0.25,-106.0,0.25
4,2026-05-31 15:10:48,0.11,0.52,3.06,54.57,1.07,17.00,27.62,934.1608,-107,-1.25,-107.0,-1.25
4,2026-05-31 15:20:48,0.10,0.46,1.95,20.65,0.00,17.19,28.45,934.0444,-105,2.00,-105.0,2.0
4,2026-05-31 15:30:48,0.10,0.46,2.68,34.32,0.00,18.27,26.68,933.9874,-102,3.50,-102.0,3.5
4,2026-05-31 15:40:48,0.11,0.45,3.19,28.79,0.00,18.71,26.23,933.9884,-108,-1.25,-108.0,-1.25
4,2026-05-31 15:50:48,0.11,0.48,2.70,41.68,0.00,20.40,23.14,933.9368,-103,3.50,-103.0,3.5
4,2026-05-31 16:00:48,0.09,0.37,2.86,43.59,0.00,20.30,23.02,933.8719,-106,1.50,-106.0,1.5
4,2026-05-31 16:10:48,0.17,2.00,17.20,327.67,0.00,20.48,20.42,933.7795,-105,2.75,-105.0,2.75
4,2026-05-31 16:20:48,0.07,0.30,1.57,21.38,0.00,20.43,20.48,933.7685,-102,4.00,-102.0,4.0
4,2026-05-31 16:30:48,0.07,0.31,1.77,32.26,1.84,20.88,19.98,933.8360,-103,3.25,-103.0,3.25
4,2026-05-31 16:40:48,0.11,0.86,7.25,162.60,0.00,21.40,21.61,933.8389,-104,3.00,-104.0,3.0
4,2026-05-31 16:50:48,8.55,115.10,327.67,327.67,3.92,21.16,17.85,933.6038,-101,3.25,-101.0,3.25
4,2026-05-31 17:00:48,11.47,139.70,327.67,327.67,0.59,19.70,18.35,933.4858,-102,3.25,-102.0,3.25
4,2026-05-31 17:40:48,9.46,115.29,327.67,327.67,0.00,18.15,20.65,933.5072,-101,3.00,-101.0,3.0
4,2026-05-31 18:10:48,21.86,262.92,327.67,327.67,0.32,17.78,20.23,933.3951,-105,2.75,-105.0,2.75
4,2026-05-31 18:20:48,16.27,192.80,327.67,327.67,6.43,17.61,19.78,933.4299,-103,3.25,-103.0,3.25
4,2026-05-31 18:40:48,13.90,167.63,327.67,327.67,0.10,17.72,20.75,933.6168,-101,2.50,-101.0,2.5
4,2026-05-31 18:50:48,17.72,216.27,327.67,327.67,0.05,17.72,21.30,933.5808,-105,1.50,-105.0,1.5
4,2026-05-31 19:10:48,15.47,185.18,327.67,327.67,0.14,17.81,20.83,933.7346,-102,3.50,-102.0,3.5
4,2026-05-31 19:20:48,11.93,144.72,327.67,327.67,2.29,17.70,20.81,933.7386,-101,4.25,-101.0,4.25
4,2026-05-31 19:30:48,15.28,181.42,327.67,327.67,0.16,17.13,21.57,933.7092,-103,2.00,-103.0,2.0
4,2026-05-31 19:40:48,15.69,187.73,327.67,327.67,0.00,16.84,21.13,933.8321,-104,2.00,-104.0,2.0
4,2026-05-31 19:50:48,18.89,228.00,327.67,327.67,0.00,16.92,21.91,933.9172,-105,1.75,-105.0,1.75
4,2026-05-31 20:00:48,12.70,154.41,327.67,327.67,0.00,16.60,22.29,934.0185,-101,3.50,-101.0,3.5
4,2026-05-31 20:50:48,10.28,124.75,327.67,327.67,0.00,15.83,23.15,934.3416,-105,1.50,-105.0,1.5
4,2026-05-31 21:00:48,12.04,144.33,327.67,327.67,0.00,15.78,22.76,934.4203,-104,1.50,-104.0,1.5
4,2026-05-31 21:20:48,6.96,83.67,327.67,327.67,0.00,15.21,22.47,934.6576,-102,3.25,-102.0,3.25
