station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-05-25 13:07:49,0.79,0.88,1.30,12.42,0.00,27.24,41.06,1008.7510,-90,6.50,-90.0,6.5
4,2026-05-25 13:09:00,0.59,0.66,0.97,12.42,0.00,27.26,40.92,1008.7521,-76,6.50,-76.0,6.5
4,2026-05-25 13:11:49,0.00,0.00,0.00,0.00,0.00,27.41,40.30,1008.6828,-74,7.00,-74.0,7.0
4,2026-05-25 13:12:49,0.28,0.38,0.78,10.44,0.00,27.42,40.18,1008.6825,-85,6.50,-85.0,6.5
4,2026-05-25 13:13:49,0.20,0.27,0.54,10.44,0.00,27.59,40.07,1008.6818,-75,6.50,-75.0,6.5
4,2026-05-25 13:15:00,0.16,0.21,0.41,10.44,0.00,27.70,39.99,1008.6828,-77,7.00,-77.0,7.0
4,2026-05-25 13:15:50,0.13,0.17,0.33,10.44,0.00,27.73,39.98,1008.6758,-81,6.75,-81.0,6.75
4,2026-05-25 13:16:49,0.11,0.14,0.28,10.44,0.00,27.74,39.93,1008.6743,-82,6.50,-82.0,6.5
4,2026-05-25 13:17:49,0.09,0.12,0.24,10.44,0.00,27.83,39.82,1008.6777,-82,6.50,-82.0,6.5
4,2026-05-25 13:18:49,0.08,0.11,0.21,10.44,0.00,27.93,39.70,1008.6792,-81,6.75,-81.0,6.75
4,2026-05-25 13:19:49,0.08,0.12,0.35,15.44,0.00,27.98,39.64,1008.6745,-77,7.25,-77.0,7.25
4,2026-05-25 13:20:49,0.08,0.11,0.32,15.44,0.00,28.01,39.59,1008.6699,-82,6.50,-82.0,6.5
4,2026-05-25 13:21:49,0.08,0.12,0.59,37.10,0.00,28.12,39.46,1008.6609,-78,6.50,-78.0,6.5
